Date;MQLs
2018-Aug;23
2018-Dec;25
2018-Jul;468
2018-Jun;210
2018-Nov;22
2018-Oct;49
2018-Sep;65
2019-Apr;53
2019-Aug;50
2019-Dec;37
2019-Feb;51
2019-Jan;58
2019-Jul;32
2019-Jun;40
2019-Mar;50
2019-May;44
2019-Nov;58
2019-Oct;57
2019-Sep;52
2020-Apr;103
2020-Aug;56
2020-Dec;234
2020-Feb;39
2020-Jan;72
2020-Jul;88
2020-Jun;129
2020-Mar;77
2020-May;127
2020-Nov;177
2020-Oct;85
2020-Sep;60
2021-Apr;160
2021-Aug;203
2021-Feb;162
2021-Jan;176
2021-Jul;297
2021-Jun;167
2021-Mar;138
2021-May;199
2021-Sep;187
